momentum_window_days,volatility_window_days,top_quantile,transaction_cost_bps,annualized_return,annualized_volatility,sharpe_ratio,maximum_drawdown,annualized_excess_return_vs_spy
126,21,0.4,10,0.21818935145151142,0.1817066618512261,1.177722517856645,-0.2598460662441415,0.07978947168788197
126,63,0.4,10,0.21289557697797523,0.17956584605864578,1.1653179636789428,-0.2688918886051569,0.07449569721434579
252,21,0.2,0,0.21167022721992845,0.17876292633438012,1.1639000503477135,-0.2559672603658688,0.07327034745629901
252,126,0.3,25,0.20805109786869336,0.17766968389482957,1.1531421046816366,-0.24806019015481395,0.06965121810506392
126,126,0.3,10,0.2057266187795188,0.17634100305691303,1.1496357700178819,-0.2723435520974471,0.06732673901588937
126,21,0.2,0,0.21102463305235242,0.18094594950898285,1.1492170211060255,-0.22541980071110201,0.07262475328872298
126,126,0.4,25,0.2108881960916773,0.18148617994237065,1.1457575710290473,-0.2694586457880568,0.07248831632804786
126,21,0.3,10,0.20523861805937216,0.1782101248939054,1.1373316077354465,-0.25018892686944394,0.06683873829574272
126,21,0.4,25,0.20551062607396653,0.18180018762328942,1.1196199254222905,-0.2606101910794527,0.06711074631033709
504,63,0.3,0,0.20154413219940648,0.17840464666729663,1.1187483409703327,-0.2484401747708438,0.06314425243577704
126,63,0.4,25,0.20222860653923425,0.17965863049340755,1.1156060974998843,-0.2694586457880571,0.0638287267756048
252,21,0.2,10,0.19909157009104272,0.17866607895747516,1.1059850948680423,-0.2562188876967706,0.060691690327413284
504,63,0.3,10,0.19668001486263487,0.17836514637563192,1.0961988747189322,-0.2502416534406774,0.058280135099005426
126,126,0.3,25,0.19343392724162478,0.17640776500074726,1.0911372437307971,-0.27309594080308763,0.05503404747799534
126,63,0.3,0,0.19431292576155945,0.17765843968311465,1.0889492465435395,-0.2706810714496556,0.05591304599793001
126,21,0.2,10,0.19756634969960363,0.18093771763807445,1.0874549610169373,-0.22595128955395538,0.059166469935974186
504,63,0.4,0,0.19355047785065715,0.17874547592426013,1.0796660772735638,-0.2843739619027916,0.055150598087027713
504,21,0.4,0,0.19310396324931545,0.17931284485697938,1.0747187471804707,-0.2614549418451372,0.054704083485686006
